ID,URL,ESTADO,ALCANCE,INSTITUCIÓN,NOMBRE,BENEFICIARIO,INICIO,FIN,MONTO,FECHA_EXTRACCION
272,https://fondos.gob.cl/ficha/mincap/fondomusicacseg2025/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo de la Música: Apoyo a la Circulación de la Música Chilena 2025 - Segundo Llamado,Personas Naturales y Jurídicas,19/08/2024,25/09/2024,Hasta $15.000.000,2024-11-26 10:42:25
273,https://fondos.gob.cl/ficha/mma/fpa2025-pspi/,CERRADO,Nacional,Ministerio del Medio Ambiente,FONDO DE PROTECCIÓN AMBIENTAL 2025- PROYECTOS SUSTENTABLES PARA PUEBLOS INDÍGENAS,Organizaciones,21/08/2024,02/10/2024,$6.000.000,2024-11-26 10:42:25
274,https://fondos.gob.cl/ficha/mma/fpa2025-psee/,CERRADO,Nacional,Ministerio del Medio Ambiente,FONDO DE PROTECCIÓN AMBIENTAL 2025- PROYECTOS SUSTENTABLES EN ESTABLECIMIENTOS EDUCACIONALES,Persona Jurídica,21/08/2024,02/10/2024,$6.000.000,2024-11-26 10:42:25
275,https://fondos.gob.cl/ficha/mma/fpa2025-psc/,CERRADO,Nacional,Ministerio del Medio Ambiente,FONDO DE PROTECCIÓN AMBIENTAL 2025 - PROYECTOS SUSTENTABLES CIUDADANOS,Persona Jurídica,21/08/2024,02/10/2024,$6.000.000,2024-11-26 10:42:25
276,https://fondos.gob.cl/ficha/mincap/fondomusicaorqpopulares2025/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo de la Música: Programa de Apoyo a las Orquestas Profesionales Populares,Persona Jurídica,22/08/2024,24/09/2024,Hasta $40.000.000,2024-11-26 10:42:25
277,https://fondos.gob.cl/ficha/mincap/fondomusicaorq2025/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo de la Música: Programa de Apoyo a las Orquestas Profesionales Doctas,Persona Jurídica,22/08/2024,24/09/2024,Entre $125.000.000 y $145.000.000,2024-11-26 10:42:25
278,https://fondos.gob.cl/ficha/mincap/foco2025/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio","Fondo de la Música: Convocatoria Línea de Asistencia a Mercados FOCO 2025 – FIMGDL, BIME PRO Bogotá y CLASSICAL NEXT",Personas Naturales y Jurídicas,28/08/2024,04/11/2024,No aplica,2024-11-26 10:42:25
279,https://fondos.gob.cl/ficha/mma/fpa2024-/,CERRADO,Nacional,Ministerio del Medio Ambiente,FONDO DE PROTECCIÓN AMBIENTAL (FPA): CONTRIBUYENDO A LA CONSERVACIÓN DEL PUDÚ EN LA PROVINCIA DE CHILOÉ,Organizaciones,28/08/2024,11/10/2024,$30.000.000,2024-11-26 10:42:25
280,https://fondos.gob.cl/ficha/mincap/artesania_curatorialbienal/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Área de Artesanía: Convocatoria para el proyecto curatorial de la Bienal Révélations 2025,Persona Natural,29/08/2024,30/09/2024,$5.000.000,2024-11-26 10:42:25
281,https://fondos.gob.cl/ficha/mincap/galeria-gabriela-mistral/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Convocatoria para exhibiciones e intervenciones artísticas Galería Gabriela Mistral 2025,Persona Natural,03/09/2024,14/10/2024,Entre $5.000.000 y $15.000.000,2024-11-26 10:42:25
282,https://fondos.gob.cl/ficha/mincap/festcomicylibro/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo del Libro: Convocatorias para participar en el Festival del Cómic de Angouleme y la Feria del Libro Infantil de Bolonia 2025,Personas Naturales y Jurídicas,03/09/2024,03/10/2024,No aplica,2024-11-26 10:42:25
283,https://fondos.gob.cl/ficha/goreatacama/frpd2024/,CERRADO,Regional,Gobierno Regional de Atacama,FONDO REGIONAL PARA LA PRODUCTIVIDAD Y EL DESARROLLO (FRPD) 2024 GOBIERNO REGIONAL DE ATACAMA,Persona Jurídica,04/09/2024,17/10/2024,Hasta $500.000.000,2024-11-26 10:42:25
284,https://fondos.gob.cl/ficha/mincap/programa-adquisicion-libros/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo del Libro y la lectura: Programa de Adquisición de libros de autores chilenos para distribución en Bibliotecas Públicas – Convocatoria 2024,Personas Naturales y Jurídicas,09/09/2024,10/10/2024,No aplica,2024-11-26 10:42:25
285,https://fondos.gob.cl/ficha/mincap/aepr2024/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Consejo Nacional de Artes Escénicas: Premio a las Artes Escénicas Nacionales Presidente de la República 2024,Personas Naturales y Jurídicas,09/09/2024,10/10/2024,No aplica,2024-11-26 10:42:25
286,https://fondos.gob.cl/ficha/mincap/cpprmn/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Consejo de Fomento de la Música Nacional: Convocatoria Premio a la Música Nacional Presidente de la República 2024,Personas Naturales y Jurídicas,12/09/2024,04/11/2024,No aplica,2024-11-26 10:42:25
287,https://fondos.gob.cl/ficha/mincap/audiovisual_pedrosienna/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Fondo Audiovisual: Premios Pedro Sienna Extemporáneos,Personas Naturales y Jurídicas,12/09/2024,15/10/2024,No aplica,2024-11-26 10:42:25
288,https://fondos.gob.cl/ficha/mincap/pabellon19bienalarquitecturadevenecia2024/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Área de Arquitectura: Concurso de ideas para el Pabellón de Chile en la 19ª Bienal de Arquitectura de Venecia,Persona Natural,16/09/2024,04/11/2024,-,2024-11-26 10:42:25
289,https://fondos.gob.cl/ficha/subctci/convocatoriafinanciamientoestructural/,CERRADO,Nacional,"Subsecretaría de Ciencia, Tecnología, Conocimiento e Innovación - SUBCTCI",CONVOCATORIA FINANCIAMIENTO ESTRUCTURAL I+D+i UNIVERSITARIO - ETAPA 1,Persona Jurídica,23/09/2024,24/10/2024,$100.000.000,2024-11-26 10:42:25
290,https://fondos.gob.cl/ficha/subctci/minciencia-desafiospublicos/,CERRADO,Nacional,"Subsecretaría de Ciencia, Tecnología, Conocimiento e Innovación - SUBCTCI",Desafíos Públicos Concurso Regular,Persona Natural: funcionarios públicos,27/09/2024,05/11/2024,Hasta $600.000.000,2024-11-26 10:42:25
291,https://fondos.gob.cl/ficha/rree/concurso-dirac/,CERRADO,Internacional,Ministerio de Relaciones Exteriores,CONCURSO ANUAL DE PROYECTOS CULTURALES DIRAC,Personas Naturales y Jurídicas,27/09/2024,08/11/2024,Entre US $7.000 y $15.000,2024-11-26 10:42:25
292,https://fondos.gob.cl/ficha/subctci/par-explora2025/,CERRADO,Nacional,"Subsecretaría de Ciencia, Tecnología, Conocimiento e Innovación - SUBCTCI",CONCURSO NACIONAL DE PROYECTOS ASOCIATIVOS REGIONALES (PAR) EXPLORA 2025-2026,Persona Jurídica,02/10/2024,06/11/2024,$290.000.000,2024-11-26 10:42:25
293,https://fondos.gob.cl/ficha/mincap/continuidad2025/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",PROGRAMA DE APOYO A ORGANIZACIONES CULTURALES COLABORADORAS (PAOCC) 2025 - CONTINUIDAD 2025,Persona Jurídica,15/10/2024,11/11/2024,-,2024-11-26 10:42:25
294,https://fondos.gob.cl/ficha/subctci/laboratoriocienciaspublicas/,CERRADO,Nacional,"Subsecretaría de Ciencia, Tecnología, Conocimiento e Innovación - SUBCTCI",CONCURSO NACIONAL LABORATORIO CIENCIA PÚBLICA PARA EL DISEÑO Y DESARROLLO DE PROYECTOS COMUNITARIOS DE COMUNICACIÓN EN EL ÁMBITO DE LOS CONOCIMIENTOS LOCALES 2024-2025,Organizaciones,17/10/2024,18/11/2024,Hasta $8.000.000,2024-11-26 10:42:25
295,https://fondos.gob.cl/ficha/ind/fondeporte-2024/,CERRADO,Nacional,Instituto Nacional del Deporte,Fondo Nacional para el Fomento del Deporte,Organizaciones,21/10/2024,13/11/2024,Hasta $7.500.000,2024-11-26 10:42:25
296,https://fondos.gob.cl/ficha/mincap/fondodellibroylalectura-adoai/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio","FONDO DEL LIBRO 2025 - APOYO A LA DIFUSIÓN DE OBRAS, AUTORES E INDUSTRIA EDITORIAL - 1ER SEMESTRE 2025",Personas Naturales y Jurídicas,28/10/2024,26/11/2024,Hasta $4.000.000,2024-11-26 10:42:25
297,https://fondos.gob.cl/ficha/goretarapaca/cicyt2024/,CERRADO,Nacional,Gobierno Regional de Tarapacá,"CONCURSO DE INNOVACIÓN, COMPETITIVIDAD, CIENCIA Y TECNOLOGIA CICYT 2024",Persona Natural,05/11/2024,20/11/2024,Hasta $320.000.000,2024-11-26 10:42:25
298,https://fondos.gob.cl/ficha/mincap/economiacreativa-teatros/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",ECONOMÍA CREATIVA: Línea de Apoyo a Teatros Universitarios 2024,Persona Jurídica,07/11/2024,17/11/2024,$100.000.000,2024-11-26 10:42:25
